PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|QS|Munich Surplus|QS|MUNICH - Surplus,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,676,623,2019,N,,USD,USD,Y,10975.2304,,-1,New,,,,,,-,-,10975.2304,,,,QS,MUNICH - Surplus,P-RP-P-TTY|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|QS|Munich Surplus|QS|MUNICH - Surplus,0
,F,P-RP-P-FAC,BusinessPlanRI,01/12/2018,P-RP-P-FAC|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|Fac|Fac|FAC|SL Facultative spend,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,676,623,2019,N,,USD,USD,Y,10397.5902,,-1,New,,,,,,-,-,10397.5902,,,,FAC,SL Facultative spend,P-RP-P-FAC|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|Fac|Fac|FAC|SL Facultative spend,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|676|623|2019|USD|10038|BUSA A&E MM|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,676,623,2019,N,,USD,USD,Y,11208.9195,,-1,New,,,,,,-,-,11208.9195,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|676|623|2019|USD|10038|BUSA A&E MM|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|724|2623|2019|USD|10017|BUSA Political|QS|Political Surplus|QS|Political Risk Stop Loss Agg,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,724,2623,2019,N,,USD,USD,Y,83640,,-1,New,,,,,,-,-,83640,,,,QS,Political Risk Stop Loss Agg,P-RP-P-TTY|01/01/2019|01/01/2020|724|2623|2019|USD|10017|BUSA Political|QS|Political Surplus|QS|Political Risk Stop Loss Agg,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|724|2623|2019|USD|10017|BUSA Political|QS|Political QS|QS|MINIMU - Political Risks QS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,724,2623,2019,N,,USD,USD,Y,1435820,,-1,New,,,,,,-,-,1435820,,,,QS,MINIMU - Political Risks QS,P-RP-P-TTY|01/01/2019|01/01/2020|724|2623|2019|USD|10017|BUSA Political|QS|Political QS|QS|MINIMU - Political Risks QS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 62.5%|QS|TRALIA,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,750,2623,2019,N,,USD,USD,Y,1303816.559,,-1,New,,,,,,-,-,1303816.559,,,,QS,TRALIA,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 62.5%|QS|TRALIA,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 50%|QS|TRALIA,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,750,2623,2019,N,,USD,USD,Y,860212.1149,,-1,New,,,,,,-,-,860212.1149,,,,QS,TRALIA,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 50%|QS|TRALIA,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 40%|QS|TRALIA,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,750,2623,2019,N,,USD,USD,Y,3803191.626,,-1,New,,,,,,-,-,3803191.626,,,,QS,TRALIA,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 40%|QS|TRALIA,0
,F,P-RP-P-FAC,BusinessPlanRI,01/12/2018,P-RP-P-FAC|01/01/2019|01/01/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|Fac|Fac|FAC|SL Facultative spend,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,750,2623,2019,N,,USD,USD,Y,169488.0971,,-1,New,,,,,,-,-,169488.0971,,,,FAC,SL Facultative spend,P-RP-P-FAC|01/01/2019|01/01/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|Fac|Fac|FAC|SL Facultative spend,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,750,2623,2019,N,,USD,USD,Y,86831.661,,-1,New,,,,,,-,-,86831.661,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 70%|QS|TRALIA,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,750,2623,2019,N,,USD,USD,Y,262574.168,,-1,New,,,,,,-,-,262574.168,,,,QS,TRALIA,P-RP-P-TTY|01/04/2019|01/04/2020|750|2623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 70%|QS|TRALIA,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|750|623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 62.5%|QS|TRALIA,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,750,623,2019,N,,USD,USD,Y,286203.6348,,-1,New,,,,,,-,-,286203.6348,,,,QS,TRALIA,P-RP-P-TTY|01/04/2019|01/04/2020|750|623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 62.5%|QS|TRALIA,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|750|623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 50%|QS|TRALIA,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,750,623,2019,N,,USD,USD,Y,188827.0496,,-1,New,,,,,,-,-,188827.0496,,,,QS,TRALIA,P-RP-P-TTY|01/04/2019|01/04/2020|750|623|2019|USD|6801|BUSA Transaction Liab|QS|R&W QS - 50%|QS|TRALIA,0
