Policy Ref,Entity,Value,TriFocus,CCY,YOA,Date Of Fact,Source File
R0715A09,623,24270.7121,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0715A09,2623,103469.8779,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0716A09,623,26966.3314,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0716A09,2623,114961.7286,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0718A09,623,3094.9176,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0718A09,2623,13194.1224,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0719A09,623,2248.7697,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0719A09,2623,9586.8603,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0720A09,623,7144.836,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0720A09,2623,30459.564,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0721A09,623,1528.892,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0721A09,2623,6517.908,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0722A09,623,735.0112,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0722A09,2623,3133.4688,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0723A09,623,3056.5433,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0723A09,2623,13030.5267,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0730A09,623,5255.6869,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0730A09,2623,22405.8231,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0731A09,623,17683.3057,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0731A09,2623,75386.7243,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0732A09,623,12838.5641,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0732A09,2623,54732.8259,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0733A09,623,5813.7188,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0733A09,2623,24784.8012,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,623,17064.9222,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,2623,72750.4578,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,623,2116.7881,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,2623,9024.2019,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,623,3684.3489,n/a,EUR,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,2623,15706.9611,n/a,EUR,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,623,2667.3321,n/a,CAD,2009,01/12/2018,Aon Broker Rebates @2009
R1139M09A,2623,11371.2579,n/a,CAD,2009,01/12/2018,Aon Broker Rebates @2009
