"PK_Transaction","Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR14|686|2014","SPSUR14","2014-01-01","2014-12-31","1980-01-01","1980-01-01","686","USBICI","2014","-","NULL","USD","USD","Y","67771.4700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","67771.4700","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR14|686|2014","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR14|696|2014","SPSUR14","2014-01-01","2014-12-31","1980-01-01","1980-01-01","696","USBICI","2014","-","NULL","USD","USD","Y","1660.7400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1660.7400","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR14|696|2014","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR14|699|2014","SPSUR14","2014-01-01","2014-12-31","1980-01-01","1980-01-01","699","USBICI","2014","-","NULL","USD","USD","Y","128715.6400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","128715.6400","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR14|699|2014","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR14|713|2014","SPSUR14","2014-01-01","2014-12-31","1980-01-01","1980-01-01","713","USBICI","2014","-","NULL","USD","USD","Y","302808.0700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","302808.0700","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR14|713|2014","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR14|719|2014","SPSUR14","2014-01-01","2014-12-31","1980-01-01","1980-01-01","719","USBICI","2014","-","NULL","USD","USD","Y","10969.7200","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","10969.7200","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR14|719|2014","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR15|671|2015","SPSUR15","2015-01-01","2015-12-31","1980-01-01","1980-01-01","671","USBICI","2015","-","NULL","USD","USD","Y","4083957.3800","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","4083957.3800","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR15|671|2015","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR17|719|2017","SPSUR17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","719","USBICI","2017","-","NULL","USD","USD","Y","8167.9700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","8167.9700","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR17|719|2017","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR17|764|2017","SPSUR17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","764","USBICI","2017","-","NULL","USD","USD","Y","1832.4000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1832.4000","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR17|764|2017","NULL"
"NULL","A","CC-LS-FAC-UN","BICI_RI_Paid","2018-12-01","SL Facultative spend|FAC|DEW2016|668|2016","DEW2016","2016-01-01","2016-12-31","1980-01-01","1980-01-01","668","USBICI","2016","-","NULL","USD","USD","Y","9238.8900","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","9238.8900","T1","NULL","NULL","FAC","SL Facultative spend","SL Facultative spend|FAC|DEW2016|668|2016","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","MUNQQS|QS|SPEXTAQS18|764|2018","SPEXTAQS18","2018-01-01","2018-12-31","1980-01-01","1980-01-01","764","USBICI","2018","-","NULL","USD","USD","Y","2419.0200","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","2419.0200","T1","NULL","NULL","QS","MUNQQS","MUNQQS|QS|SPEXTAQS18|764|2018","NULL"
