AccountingPeriod,PolicyNumber,yoa,focus_area,TrifocusCode,TrifocusName,Entity,SignedValue,SignedLinePercent,SettlementCCY,OrgininalValue,OriginalCCY,MC_OriginalValue,MC_OrgininalCCY,mop,tot,Multiyear,statscode,Inception,Expiry,AccountKey
202301,T9943B16APCR,2016,Ex Cat                   ,TRI00012,Ex Cat,623,47701.6400,2.0000,USD,2385082,USD,,,T  ,2016-07-31 00:00:00,N,SC ,2016-07-01 00:00:00,2017-06-30 00:00:00,GPE-RP-P
202301,T9943B18APCR,2018,Ex Cat                   ,TRI00012,Ex Cat,623,118072.4600,2.7500,USD,4293544,USD,,,T  ,2018-07-31 00:00:00,N,SC ,2018-07-01 00:00:00,2019-06-30 00:00:00,GPE-RP-P
202301,T9943B19APCR,2019,Ex Cat                   ,TRI00012,Ex Cat,623,81029.5750,2.7500,USD,2946530,USD,,,T  ,2019-07-31 00:00:00,N,SC ,2019-07-01 00:00:00,2020-06-30 00:00:00,GPE-RP-P
202301,T9943B20APCR,2020,Ex Cat                   ,TRI00012,Ex Cat,623,9738.3300,3.0000,USD,324611,USD,,,T  ,2020-07-31 00:00:00,N,SC ,2020-07-01 00:00:00,2021-06-30 00:00:00,GPE-RP-P
202301,T9947Q12APCR,2012,Ex Cat                   ,TRI00012,Ex Cat,623,181033.1500,5.0000,USD,3620663,USD,,,T  ,2012-07-30 00:00:00,N,SC ,2012-07-01 00:00:00,2013-06-30 00:00:00,GPE-RP-P
202301,T9947Q13APCR,2013,Ex Cat                   ,TRI00012,Ex Cat,623,41244.8000,5.0000,USD,824896,USD,,,T  ,2013-07-30 00:00:00,N,SC ,2013-07-01 00:00:00,2014-06-30 00:00:00,GPE-RP-P
202301,T9895Q17APCC,2017,Cat                      ,TRI00004,Cat,623,46430.3400,2.0000,USD,2321517,USD,,,T  ,2017-07-31 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9895Q18APCC,2018,Cat                      ,TRI00004,Cat,623,64915.0850,3.1000,USD,2094035,USD,,,T  ,2018-07-31 00:00:00,N,SC ,2018-06-01 00:00:00,2019-05-31 00:00:00,GPE-RP-P
202301,T9915A16APCZ,2016,Cat                      ,TRI00004,Cat,623,25464.5200,1.0000,USD,2546452,USD,,,T  ,2016-07-31 00:00:00,N,SC ,2016-06-01 00:00:00,2017-05-31 00:00:00,GPE-RP-P
202301,T9915A17APCZ,2017,Cat                      ,TRI00004,Cat,623,249511.5000,2.0000,USD,12475575,USD,,,T  ,2017-07-31 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9915A18APCZ,2018,Cat                      ,TRI00004,Cat,623,229581.5500,2.5000,USD,9183262,USD,,,T  ,2018-07-31 00:00:00,N,SC ,2018-06-01 00:00:00,2019-05-31 00:00:00,GPE-RP-P
202301,T9917V17APCS,2017,Cat                      ,TRI00004,Cat,623,322500.0000,1.5000,USD,21500000,USD,,,T  ,2017-06-30 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9873F15APCC,2015,Cat                      ,TRI00004,Cat,623,35728.9400,1.3000,CAD,2748380,CAD,,,T  ,2015-06-30 00:00:00,N,SC ,2015-06-01 00:00:00,2016-05-31 00:00:00,GPE-RP-P
202301,T9908Z17APCS,2017,Cat                      ,TRI00004,Cat,623,52526.1850,.5000,USD,10505237,USD,,,T  ,2017-06-30 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
